Running Time,Self (ms),,Symbol Name
132.0ms   97.7%,0, ,main
131.0ms   97.0%,0, , SequentialSimulation::Simulate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, GenericQuantumState&, Circuit&, int)
91.0ms   67.4%,0, ,  TensorExpansionOfState::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
91.0ms   67.4%,0, ,   SumOfTensorsProductsStateVector::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
78.0ms   57.7%,0, ,    TensorProductStateVector::ApplyCZGateAcrossTensorFactors(Gate::Type, Gate::Type, int, int)
78.0ms   57.7%,12, ,     FullAmpStateVector::ApplyNonCGate(int, Gate::Type, Gate const&)
7.0ms    5.1%,6, ,    TensorProductStateVector::TensorProductStateVector(TensorProductStateVector const&)
1.0ms    0.7%,0, ,     FullAmpStateVector::FullAmpStateVector(FullAmpStateVector const&)
1.0ms    0.7%,0, ,      posix_memalign
6.0ms    4.4%,6, ,    TensorProductStateVector::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
37.0ms   27.4%,0, ,  SumOfTensorsProductsStateVector::ApplyXYRecursiveTransform(unsigned long, unsigned long, int)
37.0ms   27.4%,4, ,   FullAmpStateVector::ApplyXYRecursiveTransform(unsigned long, unsigned long, int)
19.0ms   14.0%,0, ,    operator new(unsigned long)
11.0ms    8.1%,11, ,    ApplyNonControl1QGates(std::complex<float>*, int, int, Gate::Type, Gate const&)
3.0ms    2.2%,1, ,    XYRecursiveTransform(std::complex<float>*, unsigned long, unsigned long, int, int)
3.0ms    2.2%,0, ,  SequentialSimulation::PrintReport(GenericQuantumState&, unsigned long, unsigned long, Circuit const&) const
2.0ms    1.4%,0, ,   SumOfTensorsProductsStateVector::CalculateNormOfAmp()
1.0ms    0.7%,0, ,   SumOfTensorsProductsStateVector::operator[](unsigned long) const
1.0ms    0.7%,0, , Circuit::ReadGoogleCircuitFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int)
132.0ms   97.7%,0, ,0x7fff4f841113
132.0ms   97.7%,0, , main
131.0ms   97.0%,0, ,  SequentialSimulation::Simulate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, GenericQuantumState&, Circuit&, int)
91.0ms   67.4%,0, ,   TensorExpansionOfState::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
91.0ms   67.4%,0, ,    SumOfTensorsProductsStateVector::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
78.0ms   57.7%,0, ,     TensorProductStateVector::ApplyCZGateAcrossTensorFactors(Gate::Type, Gate::Type, int, int)
78.0ms   57.7%,12, ,      FullAmpStateVector::ApplyNonCGate(int, Gate::Type, Gate const&)
7.0ms    5.1%,6, ,     TensorProductStateVector::TensorProductStateVector(TensorProductStateVector const&)
1.0ms    0.7%,0, ,      FullAmpStateVector::FullAmpStateVector(FullAmpStateVector const&)
1.0ms    0.7%,0, ,       posix_memalign
6.0ms    4.4%,6, ,     TensorProductStateVector::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
37.0ms   27.4%,0, ,   SumOfTensorsProductsStateVector::ApplyXYRecursiveTransform(unsigned long, unsigned long, int)
37.0ms   27.4%,4, ,    FullAmpStateVector::ApplyXYRecursiveTransform(unsigned long, unsigned long, int)
19.0ms   14.0%,0, ,     operator new(unsigned long)
11.0ms    8.1%,11, ,     ApplyNonControl1QGates(std::complex<float>*, int, int, Gate::Type, Gate const&)
3.0ms    2.2%,1, ,     XYRecursiveTransform(std::complex<float>*, unsigned long, unsigned long, int, int)
3.0ms    2.2%,0, ,   SequentialSimulation::PrintReport(GenericQuantumState&, unsigned long, unsigned long, Circuit const&) const
2.0ms    1.4%,0, ,    SumOfTensorsProductsStateVector::CalculateNormOfAmp()
1.0ms    0.7%,0, ,    SumOfTensorsProductsStateVector::operator[](unsigned long) const
1.0ms    0.7%,0, ,  Circuit::ReadGoogleCircuitFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int)
131.0ms   97.0%,0, ,SequentialSimulation::Simulate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, GenericQuantumState&, Circuit&, int)
91.0ms   67.4%,0, , TensorExpansionOfState::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
91.0ms   67.4%,0, ,  SumOfTensorsProductsStateVector::ApplyBlockOfDiagGates(unsigned long const*, unsigned long const*)
78.0ms   57.7%,0, ,   TensorProductStateVector::ApplyCZGateAcrossTensorFactors(Gate::Type, Gate::Type, int, int)
